model,target,horizon_hours,best_MAE,n_trials,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_weight,gamma
LightGBM,wind_speed_ms,1,0.2522582486630351,5,425,0.13125830316209655,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.002570603566117598,,
XGBoost,wind_speed_ms,1,0.23420566320419312,5,425,0.07259248719561363,,12,,0.6624074561769746,0.662397808134481,0.6245760287469893,0.002570603566117598,0.9466503798478175,3.200866785899844e-08
LightGBM,wind_speed_ms,3,0.45098052667477445,8,425,0.13125830316209655,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.002570603566117598,,
XGBoost,wind_speed_ms,3,0.39397993683815,8,425,0.07259248719561363,,12,,0.6624074561769746,0.662397808134481,0.6245760287469893,0.002570603566117598,0.9466503798478175,3.200866785899844e-08
LightGBM,wind_speed_ms,6,0.5839643801307445,12,425,0.13125830316209655,97.0,10,24.0,0.7467983561008608,0.6232334448672797,0.6245760287469893,0.002570603566117598,,
XGBoost,wind_speed_ms,6,0.48167189955711365,12,425,0.07259248719561363,,12,,0.6624074561769746,0.662397808134481,0.6245760287469893,0.002570603566117598,0.9466503798478175,3.200866785899844e-08
LightGBM,wind_speed_ms,9,0.6073812501821849,15,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227185,0.008036141722925789,,
XGBoost,wind_speed_ms,9,0.5306999683380127,15,425,0.07259248719561363,,12,,0.6624074561769746,0.662397808134481,0.6245760287469893,0.002570603566117598,0.9466503798478175,3.200866785899844e-08
LightGBM,wind_speed_ms,12,0.642735273086745,20,757,0.1373669452343056,123.0,11,52.0,0.9615462369688978,0.6828922252774745,0.0020781973056227185,0.008036141722925789,,
XGBoost,wind_speed_ms,12,0.5456204414367676,20,679,0.09143495997802172,,11,,0.6190227787014475,0.6028550510494292,0.03152385457250951,0.02155560921878035,0.013886963696751372,0.003185904919095962
