model,target,horizon_hours,MAE,RMSE,R2,n_train,n_val,n_features
XGBoost,t2m_c,1,0.38312897086143494,0.576498553237026,0.99526447057724,2697935,299771,62
LightGBM,wind_speed_ms,1,0.24802017547934765,0.3489408485369136,0.9259433961958614,2697935,299771,62
XGBoost,swh,1,0.01538380328565836,0.028477144078410777,0.9915032386779785,638984,70999,62
XGBoost,mwp,1,0.05062532797455788,0.0987748030480869,0.9852433204650879,638984,70999,62
XGBoost,mwd,1,10.474763870239258,38.187305006662555,0.7828612327575684,638984,70999,62
LightGBM,sst_c,1,0.08950993754982273,0.2683437345608845,0.9980008251800488,1490964,165663,62
LightGBM,msl_hpa,1,0.24743894579700543,0.3508474883558986,0.9979997839215701,2697935,299771,62
LightGBM,tcc,1,0.08113379316382277,0.14220348265315855,0.8597510586969628,2697935,299771,62
XGBoost,cape,1,33.969120025634766,117.42777451081366,0.9029781222343445,2697935,299771,62
XGBoost,blh,1,65.55500030517578,127.23344148773349,0.9295586943626404,2697935,299771,62
XGBoost,t2m_c,3,0.7900751233100891,1.087482259320656,0.983146607875824,2697867,299763,62
LightGBM,wind_speed_ms,3,0.43728911199813547,0.59121817234302,0.7874071946075566,2697867,299763,62
XGBoost,swh,3,0.03986011818051338,0.06688141172078654,0.9531339406967163,638968,70997,62
XGBoost,mwp,3,0.10519112646579742,0.15359605909689908,0.9643182158470154,638968,70997,62
XGBoost,mwd,3,22.67605972290039,52.71494549476102,0.5862197875976562,638968,70997,62
XGBoost,sst_c,3,0.1025649830698967,0.26346321326641264,0.9980728626251221,1490926,165659,62
LightGBM,msl_hpa,3,0.4747470324612986,0.6546869610480209,0.9930343829372394,2697867,299763,62
LightGBM,tcc,3,0.14091055877101724,0.2179613299564204,0.6705100059038871,2697867,299763,62
XGBoost,cape,3,64.53968048095703,199.48036988322937,0.7200257778167725,2697867,299763,62
XGBoost,blh,3,103.69168853759766,178.6423025647201,0.8611363172531128,2697867,299763,62
LightGBM,t2m_c,6,0.9770854651134766,1.313965108372755,0.9753899058227777,2697764,299752,62
LightGBM,wind_speed_ms,6,0.5640642171253918,0.7495808239931142,0.6582727050741637,2697764,299752,62
XGBoost,swh,6,0.0667291209101677,0.11376204895824586,0.8644109964370728,638944,70994,62
XGBoost,mwp,6,0.16078855097293854,0.22050074353979351,0.9264657497406006,638944,70994,62
LightGBM,mwd,6,33.28562316005795,62.43159548820386,0.4196169194432323,638944,70994,62
XGBoost,sst_c,6,0.11474337428808212,0.2577470494045015,0.9981555938720703,1490869,165653,62
LightGBM,msl_hpa,6,0.7846738153381151,1.0882754795682799,0.9807494465145743,2697764,299752,62
LightGBM,tcc,6,0.16717419725013474,0.24095079435310823,0.5973373133815445,2697764,299752,62
XGBoost,cape,6,79.83048248291016,243.552828907303,0.5826601982116699,2697764,299752,62
LightGBM,blh,6,136.1766154010908,219.31974906545958,0.790698952704363,2697764,299752,62
LightGBM,t2m_c,9,1.0407379225312199,1.4126883939406105,0.9715473844883696,2697661,299741,62
LightGBM,wind_speed_ms,9,0.5879723207679911,0.7750253734193396,0.6346868869965687,2697661,299741,62
LightGBM,swh,9,0.08285152849993546,0.13704167745377296,0.8032443486306972,638919,70992,62
XGBoost,mwp,9,0.20682702958583832,0.28352730710939494,0.8784241676330566,638919,70992,62
LightGBM,mwd,9,38.287198896176896,65.96379430811423,0.352085028280807,638919,70992,62
XGBoost,sst_c,9,0.1297222077846527,0.26100504052476214,0.9981086850166321,1490813,165646,62
LightGBM,msl_hpa,9,0.9390118345492238,1.3309373299212146,0.9712029498331396,2697661,299741,62
LightGBM,tcc,9,0.16294320187361017,0.22857856686921443,0.6376353508553378,2697661,299741,62
XGBoost,cape,9,87.13292694091797,265.0924219729791,0.5055938959121704,2697661,299741,62
LightGBM,blh,9,141.17845448825832,223.47660538203635,0.7826921905976081,2697661,299741,62
LightGBM,t2m_c,12,1.1462474131301905,1.5691744094432851,0.9648914973244939,2697559,299729,62
LightGBM,wind_speed_ms,12,0.6232674120977166,0.8183021206150416,0.5927553767726341,2697559,299729,62
LightGBM,swh,12,0.09386719227910315,0.15353069219019053,0.7530444814961716,638895,70989,62
LightGBM,mwp,12,0.23265831745952217,0.31356990421016545,0.8513000945071433,638895,70989,62
LightGBM,mwd,12,42.06001780510362,68.61923268307723,0.2988674302265977,638895,70989,62
LightGBM,sst_c,12,0.14778625551446467,0.2875804097096069,0.9977039145054145,1490756,165640,62
LightGBM,msl_hpa,12,1.1485644180443262,1.6376767070023994,0.9563925388454106,2697559,299729,62
LightGBM,tcc,12,0.1673772193962563,0.23195889288550728,0.6268437169063745,2697559,299729,62
XGBoost,cape,12,95.52669525146484,288.9106966261374,0.41277992725372314,2697559,299729,62
LightGBM,blh,12,148.97164190592025,233.01113027709656,0.7637580556290275,2697559,299729,62
